Account Name,Account Number,Address,Account Type,Balance
Duc,C,00-0000-0000000-00,Savings,0.0
Duc,C,00-0000-0000000-00,Savings,0.0
Duc,00-0000-0000000-00,Brooklyn,Savings,0.0
Duc,00-0000-0000000-00,Brooklyn,Savings,0.0
Duc,C,00-0000-0000000-00,Savings,0.0
Duc,C,00-0000-0000000-00,Savings,0.0
Duc,00-0000-0000000-00,Brooklyn,Savings,0.0
Duc,00-0000-0000000-00,Brooklyn,Savings,0.0
Duc,C,00-0000-0000000-00,Savings,0.0
Duc,C,00-0000-0000000-00,Savings,0.0
Duc,00-0000-0000000-00,Brooklyn,Savings,0.0
Duc,00-0000-0000000-00,Brooklyn,Savings,0.0
Duc,C,00-0000-0000000-00,Savings,0.0
Duc,C,00-0000-0000000-00,Savings,0.0
Duc,00-0000-0000000-00,Brooklyn,Savings,0.0
Duc,00-0000-0000000-00,Brooklyn,Savings,0.0
Duc,80-0101-0423087-00,Johnsonvile,Savings,41.0
Duc,C,00-0000-0000000-00,Savings,0.0
Duc,C,00-0000-0000000-00,Savings,0.0
Duc,C,00-0000-0000000-00,Savings,0.0
Duc,C,00-0000-0000000-00,Savings,0.0
Duc,C,00-0000-0000000-00,Savings,0.0
Duc,C,00-0000-0000000-00,Savings,0.0
Duc,C,00-0000-0000000-00,Savings,0.0
Duc,C,00-0000-0000000-00,Savings,0.0
Duc,80-0101-0423087-00,Johnsonvile,Savings,41.0
